"grupo","nDxB","nPxB","nMxB","nDxT","nPxT","nMxT","nDxW","nPxW","nMxW"
"0-1",40.179,5816.6705,0.0069,92.552,4206.2655,0.022,4472.946,272161.8345,0.0164
"1-4",4.119,11713.3095,4e-04,17.852,7713.8,0.0023,1054.388,549896.8135,0.0019
"5-9",3.815,14861.437,3e-04,7.77,8422.715,9e-04,636.216,673815.0815,9e-04
"10-14",4.107,15551.778,3e-04,6.422,7488.952,9e-04,472.182,638097.1725,7e-04
"15-19",10.011,16608.9995,6e-04,9.018,6205.124,0.0015,709.575,610706.2035,0.0012
"20-24",16.502,17165.586,0.001,9.671,4974.6485,0.0019,870.377,595436.744,0.0015
"25-29",20.723,17162.534,0.0012,9.7,4204.7645,0.0023,963.471,606868.8465,0.0016
"30-34",26.507,17601.582,0.0015,10.841,3743.4615,0.0029,1074.181,582457.586,0.0018
"35-39",33.935,16937.543,0.002,12.427,3217.9265,0.0039,1240.613,529248.4205,0.0023
"40-44",42.067,15035.0765,0.0028,13.323,2542.2975,0.0052,1498.393,482178.481,0.0031
"45-49",52.473,13468.653,0.0039,14.045,1913.744,0.0073,1993.505,472843.1765,0.0042
"50-54",71.488,12468.2415,0.0057,15.225,1453.4895,0.0105,2741.625,428774.897,0.0064
"55-59",91.947,11047.034,0.0083,17.24,1148.588,0.015,3407.183,354090.792,0.0096
"60-64",117.102,8902.9885,0.0132,21.42,939.07,0.0228,4555.459,311299.541,0.0146
"65-69",142.16,6844.666,0.0208,24.668,714.696,0.0345,5417.377,245657.713,0.0221
"70-74",158.9,4661.291,0.0341,26.905,510.2005,0.0527,5663.386,167154.179,0.0339
"75-79",177.365,3225.25,0.055,21.742,273.1,0.0796,6197.373,116519.142,0.0532
"80-100",378.036,2710.238,0.1395,29.401,199.736,0.1472,14970.275,127744.4085,0.1172
"Total",1391.436,211782.878,0.0066,360.222,59872.579,0.006,57938.525,7764951.0325,0.0075
