"ano","nascidos","obtos","pb.sobrev1"
"2000",94746,1522,0.984
"2001",92979,1431,0.985
"2002",93897,1527,0.984
"2003",92081,1466,0.984
"2004",91231,1494,0.984
"2005",91556,1365,0.985
"2006",87483,1311,0.985
"2007",85159,1240,0.985
"2008",87462,1221,0.986
"2009",87485,1185,0.986
"2010",87476,1132,0.987
"2011",89742,1230,0.986
"2012",93274,1327,0.986
"2013",94822,1317,0.986
"2014",99798,1254,0.987
"2015",100672,1233,0.988
"2016",95563,1246,0.987
"2017",97520,1137,0.988
"2018",98872,1224,0.988
"2019",96112,1236,0.987
"2020",92768,1016,0.989
