"grupo_etario","ano","nMx","nqx"
"Total",2021,0.0167,0.0646409909038126
"0-4",2021,0.24042,0.649415196780206
"5-9",2021,0.23597,0.641248963952335
"10-14",2021,0.24873,0.664405059233636
"15-19",2021,0.2385,0.645903859174001
"20-24",2021,0.21585,0.603059300132709
"25-29",2021,0.20508,0.581721223123617
"30-34",2021,0.20047,0.572387111510843
"35-39",2021,0.20274,0.576998605458633
"40-44",2021,0.21304,0.597554134410412
"45-49",2021,0.24004,0.648721690719421
"50-54",2021,0.2683,0.698425094364181
"55-59",2021,0.31215,0.768700363233393
"60-64",2021,0.38516,0.870260743820326
"65-69",2021,0.4998,0.999799959991998
"70-74",2021,0.69804,1.16530332877032
"75-79",2021,1.05388,1.35644966149252
"80-84",2021,1.65699,1.53639098929527
"85-89",2021,3.22062,1.73122759110041
"90+",2021,5.90641,1.84390633755879
