"grupo_etario","ano","nMx","nqx"
"Total",2021,0.01699,0.065726609799029
"0-4",2021,0.23008,0.630287091825553
"5-9",2021,0.2266,0.623726947426369
"10-14",2021,0.23903,0.646874957714842
"15-19",2021,0.23033,0.630755959634686
"20-24",2021,0.21098,0.593490674843174
"25-29",2021,0.20358,0.578697518405867
"30-34",2021,0.1973,0.565897031406855
"35-39",2021,0.20334,0.578212528791196
"40-44",2021,0.2195,0.610145934676859
"45-49",2021,0.25222,0.670601685677063
"50-54",2021,0.28479,0.725773773875814
"55-59",2021,0.33802,0.806711057015346
"60-64",2021,0.42884,0.923388312303518
"65-69",2021,0.57505,1.06981070647877
"70-74",2021,0.81255,1.23812426193288
"75-79",2021,1.25079,1.4288292713575
"80-84",2021,2.07797,1.61209789097623
"85-89",2021,4.29455,1.79142985264519
"90+",2021,8.07555,1.8833894035951
