"grupo_etario","ano","populacao","nasc.IDADE","TEF"
"15-19",2010,268523,21058,0.0784
"20-24",2010,278422,25628,0.092
"25-29",2010,282909,22120,0.0782
"30-34",2010,273157,12583,0.0461
"35-39",2010,244076,4369,0.0179
"40-44",2010,222313,779,0.0035
"45-49",2010,192813,32,2e-04
"15-19",2019,258617,17258,0.0667
"20-24",2019,285968,25469,0.0891
"25-29",2019,294862,23795,0.0807
"30-34",2019,300628,18257,0.0607
"35-39",2019,294094,9045,0.0308
"40-44",2019,274078,1655,0.006
"45-49",2019,241266,91,4e-04
"15-19",2021,254555,15458,0.0607
"20-24",2021,281270,23849,0.0848
"25-29",2021,296044,23073,0.0779
"30-34",2021,302849,17352,0.0573
"35-39",2021,299459,8953,0.0299
"40-44",2021,284974,1743,0.0061
"45-49",2021,252928,69,3e-04
